# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 144909 144909 51577 144909
-1.02287845255 -86141194.911 0.354275728882 126776 144746 62156 173362
-2.04166904458 -15410152.1425 0.677021846734 112546 144605 70023 183822
-3.01562066023 -5270714.17664 0.509005722117 103467 144588 72441 190559
-3.99088594215 -2138277.71068 0.972801750866 96815 144472 73757 193295
-4.96321695943 -983032.916365 0.357625594642 91399 144724 70672 194755
-5.9735358562 -495110.05264 0.495704031703 86479 145006 70555 193102
-6.97867343499 -282299.343109 0.275958311571 81934 144901 67445 192200
-8.0139960279 -169661.765885 0.764042066563 78706 145102 70184 190850
-9.01427197912 -106033.72187 0.32394129071 76166 145554 67460 193094
-10.0529228913 -61264.3220208 0.477178849377 74489 145420 67960 191118
-11.0783394604 -34445.0659339 0.707028087247 71705 145306 72456 191127
-12.0556834741 -20867.742714 0.400678868337 68783 145477 74276 195228
-13.0301861719 -13631.7492276 0.242488696313 66443 145766 79118 196244
-13.9601648061 -9473.51194276 0.7806526433 64495 145839 65857 199272
-15.040457204 -6336.58436411 0.833639173744 62175 145814 64425 190260
-16.1020153753 -4351.99632851 0.286999163461 60503 145864 66670 189702
-17.1360910982 -3138.59576632 0.53768476833 58653 145618 69780 189161
-18.1340302532 -2332.69780079 0.509149455887 57146 145916 71138 192229
-19.1295617815 -1793.07450118 0.258076322275 55773 146082 66968 193648
-20.1758092092 -1382.52280298 0.899642128221 54864 146254 77647 190434
-21.0976148338 -1117.02331921 0.76181374229 54160 146715 64421 198397
-22.190812231 -860.407240566 0.298226580893 52724 146571 76313 190278
-23.1253101056 -709.268782253 0.0771598510605 51825 146976 64560 198171
-24.2160594349 -570.804185642 0.511241273898 49952 147031 61834 190309
-25.3078029277 -466.921885711 0.145744187671 49421 146834 64957 188698
-26.3571320321 -392.205996485 0.897301240374 48130 146073 81300 189790
-27.2408362814 -346.556445675 0.976694892572 47840 146071 81511 201424
-28.1674768793 -304.45825402 0.105830980799 46916 145846 88081 204053
-29.0431847619 -274.338337777 0.816377515843 46629 145731 53605 206347
-30.2979588116 -237.971970266 0.404237366735 45019 144533 58566 181466
-31.393361828 -213.477333988 0.0774648893909 45066 144688 80478 185382
-32.2673841239 -198.747258775 0.580109317996 44549 144465 83969 199845
-33.1648526235 -185.450922761 0.719944869827 43938 144380 70202 203027
-34.2117461079 -172.436923138 0.842252230736 43289 144273 67576 193243
-35.2497003619 -161.971497412 0.658944580713 42771 143566 69679 189619
-36.2505384775 -152.787308372 0.833515726312 41754 142552 71156 190088
-37.2374635407 -145.542293015 0.959134679418 40678 141774 69385 188129
-38.2355598876 -138.540174946 0.927236036303 39921 142072 78961 188872
-39.1382520864 -132.895500096 0.111641805201 38858 141012 47461 195337
-40.4346299815 -124.815496943 0.889313488984 37967 140900 49758 174575
