# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 871021 871021 301495 870398
-1.05974969459 -1321196322.15 0.19256271047 792345 871600 407690 1171561
-2.11502810233 -136444205.86 0.51924246554 758489 871466 525132 1277655
-3.0046770997 -26982723.668 0.587100455116 742170 871915 579191 1395369
-3.88447215663 -6099643.55837 0.0811209175552 725917 872073 641489 1449898
-4.70066069916 -2136670.84207 0.645071410162 708579 872536 567273 1511518
-5.68077213848 -766353.202758 0.676725611188 691957 872360 640881 1438198
-6.48983855749 -331336.21618 0.42913575445 684917 872296 865333 1510842
-7.04863863582 -188148.717978 0.188636883216 680609 871969 765503 1733698
-7.86672400794 -87271.9315778 0.833734228068 676063 872440 732313 1635593
-8.67096388727 -46114.3297143 0.58813665795 667982 872352 709473 1601546
-9.48583326006 -26966.2270218 0.836449970262 660633 872160 593760 1579234
-10.4641391952 -15898.0530269 0.668517801109 649481 871918 541980 1463580
-11.4575791152 -10244.8017072 0.977468063703 634850 871200 579459 1411206
-12.3481485438 -7359.52611423 0.614770548791 623474 871397 703744 1448745
-13.0712420972 -5787.85660737 0.621901376857 612489 871303 683557 1572533
-13.9049907998 -4506.17983074 0.113134732952 601945 871906 586141 1552831
-14.8793684383 -3464.92417084 0.476654710394 592210 871736 831048 1455758
-15.4415020801 -3009.7425848 0.487355436028 585935 871029 757157 1698618
-16.2501498947 -2497.18916753 0.548922469485 579311 871102 507806 1625721
-17.4130685671 -1959.12290315 0.498740724361 570645 871465 287251 1377888
-18.9775320116 -1491.03552276 0.638068160697 558063 871456 598330 1157537
-19.6390070439 -1355.47909261 0.23890023489 552783 870863 680580 1465928
-20.4071976146 -1227.87745503 0.880883240729 547456 870377 780048 1548312
-21.0938608409 -1133.762527 0.643919072554 542258 870767 831661 1647993
-21.7787859769 -1057.70105537 0.30756293555 537697 870203 821012 1699252
-22.5070767602 -991.372088638 0.475106110415 531619 870419 1016207 1689367
-23.0168032698 -952.690664776 0.734865893776 527870 871296 1096816 1884378
-23.5592211558 -917.613643331 0.118227001358 524666 871886 1244656 1965475
-24.0174408713 -891.767886739 0.287293726746 521074 872173 1528520 2113935
-24.3431582918 -875.558317996 0.698098500561 518834 872983 1290289 2397941
-24.9637348738 -848.120989298 0.223887576138 515378 872767 1316302 2161361
-25.4608024934 -829.09156162 0.972846466007 511872 872147 712502 2186759
-26.5818234775 -792.514874107 0.929206108147 504790 871027 1055892 1582399
-26.9881672213 -781.676041328 0.0159920668548 502184 871212 1437517 1923759
-27.2811958225 -774.363315792 0.589769143314 499380 870399 1449068 2305298
-27.7466204676 -763.59113629 0.114185201797 496485 870044 1368132 2317557
-28.2747137673 -752.759195331 0.634869800921 493228 870144 1786368 2236521
-28.5009729094 -748.433243694 0.0847442308673 491165 870407 2246093 2653954
-28.6691760266 -745.331581407 0.764017363559 491799 870495 2698772 3112612
-28.8130094138 -742.761925074 0.458357344374 490601 870991 1613005 3564903
-29.6063784681 -729.825250852 0.852705143129 484348 872156 1639382 2484422
-30.0232232827 -724.111851101 0.174495871221 482166 873329 1873643 2511938
-30.3176666875 -720.482989239 0.260095117357 480338 873422 2414787 2744414
-30.4469618798 -718.935663335 0.891242903755 480128 873636 2613599 3285171
-30.6766858057 -716.216567022 0.564956931805 479082 874466 3081977 3486452
-30.801056789 -714.780397434 0.836947677645 478969 874734 3602825 3953686
-30.8949395531 -713.73957449 0.285398311386 477983 874597 3630709 4472936
-31.104328891 -711.52183831 0.11395919057 477261 874743 3903924 4501683
-31.2476060853 -710.051001193 0.908393027465 476248 874686 4421754 4774398
-31.325135213 -709.262859609 0.464496090933 476097 875083 4347769 5291421
-31.5222186794 -707.285388994 0.20990459667 475214 874912 4322001 5218010
-31.7112893751 -705.444425655 0.00593999180973 474829 874864 2639476 5192076
-32.3881788232 -699.061908451 0.751688476667 470379 874858 526726 3511923
-34.2828093431 -684.00675523 0.164619109435 454356 873977 605321 1400364
-35.1222077332 -678.935496747 0.581510163223 445517 874470 737020 1478132
-35.8192447405 -675.092236037 0.94446961093 436711 871772 510683 1607287
-36.96518024 -669.03801576 0.327200334389 429720 871496 771287 1381464
-37.5495742761 -666.478628721 0.195931204388 423272 872241 469042 1641140
-38.8009265894 -661.225707431 0.28856566622 408270 862277 337681 1330441
-40.1699667977 -656.164912739 0.239024211973 392180 860258 361971 1196974
-41.364817439 -652.356204468 0.0851916194387 375995 862050 703188 1222948
-41.9200675615 -650.871244473 0.410586262129 367329 863053 929132 1563342
-42.4419340937 -649.585636842 0.336833369236 359330 863923 317632 1789465
-44.1669426476 -645.093733129 0.346235621616 331455 862066 419174 1178960
-45.2008594433 -642.548798339 0.559389137939 313867 859449 405059 1277136
-46.3484144414 -639.62284233 0.242314381832 300252 858062 767404 1261845
-46.8477034342 -638.343441414 0.854138524995 297022 858341 703549 1622611
-47.683946307 -636.197318729 0.417662645011 294529 858319 682856 1560287
-48.5109310917 -634.046429795 0.419254885689 292785 857237 932034 1538772
-49.0139101096 -632.782169507 0.21542844822 291475 857374 1230472 1787255
-49.3888364109 -631.865307312 0.725841327682 290519 856932 1361194 2084690
-49.816415591 -630.832464085 0.670286753572 289271 856468 1156424 2215511
-50.4674067789 -629.281739987 0.24499304532 286290 854941 1297162 2010064
-50.9067438688 -628.259522419 0.241109705432 285751 855156 1181499 2149910
-51.5063559321 -626.906349938 0.683276867093 283413 854998 1488048 2035046
-51.8209496729 -626.237269312 0.425798367974 282463 854645 1850194 2340025
-52.0572630481 -625.753488407 0.520107517978 281284 854748 1934932 2701880
-52.3922749191 -625.068832016 0.351534307369 280436 854151 2236972 2786852
-52.6132915851 -624.619767989 0.170011110272 279344 853993 1257510 3087273
-53.5116441502 -622.786603595 0.931874054944 277053 850817 914803 2107496
-54.3466475159 -621.188205672 0.490696340972 273383 849989 1311306 1763758
-54.6448772116 -620.680551521 0.0934219117846 272027 850195 1495075 2157654
-55.013094154 -620.080524621 0.787076678573 271303 850576 1653944 2342256
-55.3623366745 -619.527214714 0.25761409208 270418 850659 1409340 2500853
-55.9367231937 -618.638257801 0.225429896729 268687 851018 1340568 2257828
-56.4590961532 -617.865806283 0.468150438191 266742 850915 965913 2189438
-57.2779011285 -616.73778316 0.658769280663 263423 851212 1264034 1815571
-57.6416312824 -616.278016712 0.746430083502 262953 851633 1135999 2111894
-58.2626481554 -615.497915546 0.846790328009 260291 851201 948649 1984815
-59.0016220033 -614.624589366 0.197880466322 257154 851796 1145454 1798710
-59.4543713804 -614.124248022 0.640470643418 255725 851739 1098067 1994939
-60.0524820462 -613.4827087 0.318354819534 252866 852669 1303121 1948512
-60.4562424781 -613.06579372 0.658526871957 251698 852896 1256776 2153275
-60.995765893 -612.537014144 0.210603927736 248482 851761 1716199 2106021
-61.2020979597 -612.336899146 0.942872126484 247715 851692 1327649 2563739
-61.8608678738 -611.695501595 0.65919905551 246238 851283 1052909 2177470
-62.588167669 -610.971939698 0.378639705105 243375 850398 1026206 1901915
-63.2062154967 -610.371538392 0.928770192822 241787 850172 1037114 1874448
-63.7992152692 -609.7957141 0.838431140222 240445 850377 968666 1885517
-64.4662022643 -609.165158514 0.378423991937 238407 849950 1330354 1816928
-64.7796316794 -608.883566664 0.912905119504 237721 850260 1185353 2177593
-65.3887503551 -608.324518514 0.398688613542 236790 850118 1402908 2033543
-65.7614307936 -607.991441174 0.942879894788 235853 850747 1356736 2250802
-66.2687280148 -607.555603249 0.461710065452 235624 850073 1267929 2204895
-66.8230539246 -607.091724756 0.341689772488 234464 850573 1200734 2116794
-67.3910709861 -606.629804392 0.306722966899 233943 850451 1613298 2049117
-67.6318398591 -606.442699734 0.155696009957 233277 849989 1316936 2459216
-68.2571778643 -605.969087202 0.628098258072 231673 849406 865428 2164837
-69.1742863853 -605.275211569 0.363168566319 230958 847399 903266 1712030
-69.8148191281 -604.824599796 0.648154291073 228698 846318 1101436 1748469
-70.278445259 -604.508462386 0.433361249526 227916 845913 928280 1946006
-71.0193875777 -604.01503183 0.781027923036 226417 843743 1488873 1771599
-71.1952525975 -603.907245395 0.806500106722 226046 843245 1789290 2329107
-71.460330786 -603.749912262 0.867373171821 225454 842631 2175132 2630401
-71.6517100457 -603.636906794 0.14193911585 225208 842309 2768151 3014565
-71.7382415276 -603.585776476 0.200534083844 225665 841849 2750511 3605417
-72.0097992683 -603.424200822 0.149359110521 224997 841846 2796032 3590914
-72.2609326127 -603.277352404 0.773575244532 224542 841320 2401113 3635151
-72.6764206083 -603.036600061 0.560665349964 224414 840813 2731409 3240776
-72.8485139208 -602.937611196 0.719920499203 223032 840479 2694793 3569105
-73.1304147494 -602.7793125 0.0244032205522 222740 839807 2956878 3533123
-73.3094647777 -602.679494072 0.610288701036 222044 840048 3472262 3794991
-73.3993357912 -602.630666926 0.349284903659 221794 840001 4077397 4307833
-73.4552085226 -602.601176034 0.843778647964 222021 840102 4004748 4912544
-73.660225529 -602.49279832 0.26008659574 222220 840234 3294152 4842619
-74.0461315038 -602.289536091 0.612992918159 220361 840123 2799432 4133200
-74.4364650642 -602.087188825 0.731205296356 219603 839954 2598582 3637943
-74.7737595167 -601.915538847 0.281471287706 219381 840127 1315867 3437205
-75.7339941187 -601.438119551 0.321207811584 217628 841014 1857255 2156115
-75.884879424 -601.365863713 0.0412156268306 217358 840740 1992399 2696715
-76.188749688 -601.221887813 0.0742272389559 216444 841064 2695255 2832191
-76.2396750965 -601.19899127 0.862060991223 215945 841185 2923230 3535173
-76.430739907 -601.110016447 0.394985411249 216970 841498 3028075 3763454
-76.6490609118 -601.013314783 0.327245242688 215449 842086 1399456 3868896
-77.6659187279 -600.557362576 0.118922183263 213202 840850 1705278 2239024
-77.9396877548 -600.43973525 0.491957796646 212131 841161 0 0
